ip_address,device_id,otp_delay,geo_distance,login_time,attempt_count,browser_info,is_new_ip,past_failures,network_type,risk_label
197.30.199.141,dev_312,1.6645060784668784,5548.219621333799,04:02,6,Opera,True,5,Mobile,1
235.243.15.48,dev_196,48.55765890091729,164.54791141372726,19:07,1,Safari,False,0,WiFi,0
62.132.173.31,dev_852,1.2680621626273445,9193.76511122445,03:27,6,Unknown,True,4,VPN,1
46.77.29.41,dev_411,26.772338467740006,311.19713843963706,09:58,1,Chrome,False,1,Ethernet,0
249.38.95.6,dev_196,0.6488761733885995,14166.60872565442,02:08,7,Opera,True,4,Mobile,1
160.87.117.238,dev_587,80.24180966184649,339.99482701962467,18:07,1,Safari,False,1,WiFi,0
55.184.91.126,dev_298,20.481884148250906,19.26693292578974,14:32,1,Safari,False,0,WiFi,0
216.169.56.56,dev_282,1.559224317512698,14405.273188931014,03:47,8,Edge,True,3,Mobile,1
100.91.39.250,dev_856,18.958600071271174,65.15865930472853,13:22,2,Firefox,False,0,Ethernet,0
156.204.4.48,dev_815,0.9128443262207802,11424.6294073909,01:04,6,Opera,True,3,VPN,1
163.199.82.31,dev_506,0.22622673527089143,3796.078033968255,01:02,4,Unknown,True,4,Mobile,1
138.179.243.180,dev_447,32.01722199182581,500.92952528354994,14:24,1,Safari,False,0,WiFi,0
53.157.66.208,dev_998,48.72063492104819,951.5691052857006,16:49,1,Safari,False,1,WiFi,0
213.38.253.163,dev_363,0.9081851573086993,6299.599874581631,02:59,8,Unknown,True,4,VPN,1
188.180.171.254,dev_318,0.808556068419804,10095.704359252162,00:12,6,Edge,True,4,Mobile,1
123.178.78.54,dev_754,49.31846395640787,504.12179686876743,18:08,2,Chrome,False,0,WiFi,0
60.167.155.15,dev_493,23.163886306438243,775.2202373020083,19:26,2,Safari,False,0,WiFi,0
133.109.220.89,dev_163,65.65003775798553,263.5764978436884,11:59,1,Chrome,False,0,WiFi,0
38.74.185.91,dev_515,1.1120847582721876,14605.049388273064,04:08,5,Opera,True,3,VPN,1
79.18.150.30,dev_602,1.3409651959229234,3553.2149720515004,01:02,6,Edge,True,4,VPN,1
144.64.39.144,dev_187,53.02212268436149,707.2715732162343,10:21,1,Firefox,False,0,WiFi,0
99.135.197.142,dev_929,25.13771506222384,194.84460424993046,20:13,2,Chrome,False,1,Ethernet,0
244.231.246.122,dev_101,39.67354870243174,442.98159346121867,10:43,1,Safari,False,0,Ethernet,0
81.120.47.138,dev_800,1.7904622441914528,5938.76318987861,03:38,4,Edge,True,5,Mobile,1
4.19.181.42,dev_214,54.28381618113021,727.5919287713982,13:48,2,Chrome,False,0,WiFi,0
207.9.202.58,dev_300,1.403600563373439,12772.206823600027,04:50,7,Opera,True,4,Mobile,1
75.172.62.140,dev_668,1.3865050206599692,4214.2229385314495,03:48,8,Unknown,True,5,VPN,1
81.165.11.184,dev_236,24.087070444113785,893.7485648284539,12:44,2,Chrome,False,0,Ethernet,0
128.78.31.192,dev_567,45.92071986725365,749.6782221477897,20:09,1,Safari,False,1,WiFi,0
90.148.96.71,dev_812,20.595605429873302,510.15111801165546,09:17,2,Firefox,False,1,WiFi,0
19.236.86.85,dev_369,89.03288527174355,23.95669531059541,18:38,1,Safari,False,0,WiFi,0
187.111.18.39,dev_413,1.8951095216857308,9716.001083595307,02:52,4,Unknown,True,4,VPN,1
17.180.77.63,dev_630,37.346910785783706,866.9220513158928,09:26,1,Chrome,False,1,Ethernet,0
68.54.39.76,dev_632,1.1847236147624605,14764.573260255245,00:31,7,Edge,True,3,VPN,1
